"link","name","topic","difficulty","popularity","comment","status","solution","concept_covered","created_at","updated_at"
"https://leetcode.com/problems/1-bit-and-2-bit-characters/","1-bit and 2-bit Characters","ARRAY","EASY",562319,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/add-to-array-form-of-integer/","Add to Array-Form of Integer","ARRAY","EASY",779686,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/adding-two-negabinary-numbers/","Adding Two Negabinary Numbers","ARRAY","MEDIUM",60415,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/adjacent-increasing-subarrays-detection-i/","Adjacent Increasing Subarrays Detection I","ARRAY","EASY",338933,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/all-divisions-with-the-highest-score-of-a-binary-array/","All Divisions With the Highest Score of a Binary Array","ARRAY","MEDIUM",58164,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/angles-of-a-triangle/","Angles of a Triangle","ARRAY","MEDIUM",56878,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/ant-on-the-boundary/","Ant on the Boundary","ARRAY","EASY",108646,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/apply-operations-to-make-all-array-elements-equal-to-zero/","Apply Operations to Make All Array Elements Equal to Zero","ARRAY","MEDIUM",58631,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/array-transformation/","Array Transformation","ARRAY","EASY",31352,,"LOCKED",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three/","Average Value of Even Numbers That Are Divisible by Three","ARRAY","EASY",160182,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/average-waiting-time/","Average Waiting Time","ARRAY","MEDIUM",307726,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/beautiful-arrangement-ii/","Beautiful Arrangement II","ARRAY","MEDIUM",103993,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/best-position-for-a-service-centre/","Best Position for a Service Centre","ARRAY","HARD",57498,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/best-reachable-tower/","Best Reachable Tower","ARRAY","MEDIUM",58787,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/build-array-from-permutation/","Build Array from Permutation","ARRAY","EASY",1014716,,"SUCCESS","class Solution {
public:
    vector<int> buildArray(vector<int>& nums) {
        int n = nums.size();
        vector<int> ans(n, -1);
        for (int i = 0; i < n; i++) {
            ans[i] = nums[nums[i]];
        }
        return ans;
    }
};",true,2026-07-21T18:50:04.000Z,2026-09-01T21:20:41.106Z
"https://leetcode.com/problems/button-with-longest-push-time/","Button with Longest Push Time","ARRAY","EASY",92771,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
"https://leetcode.com/problems/calculate-amount-paid-in-taxes/","Calculate Amount Paid in Taxes","ARRAY","EASY",86895,,"CLEAR",,true,2026-07-21T18:50:04.000Z,2026-08-23T20:28:14.321Z
